分類,項目,内容,参照,実装ブランチ,備考
対応済み,Analysis の provenance — 名前+パス+版が揃った(local は完成),出所行は main.cpp:18572 が組み立てる『[local] 名 寸法 dtype | 対象 | range | 時刻 | ms』で、measure-ux.md §2 と manual.md §6 の仕様どおり — 文書は正しく、プラグイン名を足すのは仕様変更。版はそもそも ABI に無い: psAnalyzerV1/V2 に version フィールドが無く、AnalyzerPluginInfo も dll のパスを保持していないので、ABI v3 か予約フィールドの判断が要る。だから設計の話,"core/main.cpp:18572, core/plugin_host.h, docs/measure-ux.md §2",https://github.com/klimemam/viewer/issues/46,"『単位の規則』行の後半を docs-truth が分離したもの。私のマージで一度失われ、復旧(2026-08-04)  /  【2026-08-04 指示】継続課題。仕様確定済み(docs/analysis-layers.md, 2026-08-06)— 着手可  /  【stage1 2026-08-07】判断record 6 どおり実装(PR #98、964b82c): ホスト帳簿(AnalyzerPluginInfo::file/path)→ 出所行末尾に アナライザ名(dll名)、フルパスは tooltip + TSV/CSV の # plugin: 行。builtin は無タグ(selftest AP11/12)。--anaprov-selftest red→green AP1–12。ABI 構造体は不変。残り = version 欄(ABI v3 の新設欄と同時、版上げを2回にしない)  /  【段階2 2026-08-10 PR #126 9906258】PS_ABI_VERSION 3。出所行は 名前 <版> (dll名)、ツールチップと # plugin: 行は <版> フルパス(版がパスの前 — パスに空白が入り得るので末尾トークンでは区別できない)。V1/V2 は版を空欄のまま(推測しない)、v3 で版を持たない記述子は理由つきで拒否。互換は static_assert 3本で強制(sizeof(psHostApi) 不変、V1/V2 の構造体と register 席は不変)。将来の席はアドレスのみ予約し名前は書かない(abi_version >= 3 は『名前を挙げた席は非 NULL』を約束するため、空席に名前を付けるとヘッダが初日から嘘になる)。残り: リモートの name+version パリティ(§10)と同梱アナライザ自身の V3 移行(今の空欄は正しい状態)"
対応済み,ビルドが再現可能でない(PE TimeDateStamp),"同じツリーを2回ビルドすると全成果物が異なる。mingwがPEにタイムスタンプを打つため。-Wl,--no-insert-timestamp で同一になることは確認済み。エクスポートの出所行がコミットハッシュを名乗るのに、そのハッシュが唯一のバイナリを意味しない","CMakeLists.txt, docs/python-plugins.md §10.3",,"0cf6af5。-Wl,--no-insert-timestamp。再リンク前後でハッシュ一致を実測確認"
対応済み,LICENSE と THIRD-PARTY-NOTICES(配布物の表示義務),CIがmainへのmergeごとにbinariesブランチへforce-pushしており、これは配布。にもかかわらずLICENSEファイルが1つも無い。同梱するGLFW/ImGui/miniz/pfdの表示義務も未整理。LibRawを入れるならCDDL(LGPLの再リンク義務は自動公開の単一静的exeに合わない)を選ぶ判断も要る,"docs/media-formats.md §5, .github/workflows/build.yml",branch native-media / https://github.com/klimemam/viewer/pull/75,判断はユーザー + Fable のセカンドオピニオン待ち(2026-08-03)。形式戦略の調査で発覚。RAW着手より前に置く  /  【2026-08-04 指示】優先度低  /  【2026-08-05】THIRD-PARTY-NOTICES.md を追加(実際の link 行から起こした: imgui MIT / glfw zlib / miniz MIT / pfd WTFPL-2.0 / stb_image MIT-or-PD、OS ライブラリと font は非同梱、toolchain runtime も明記)。CI の Package でバイナリに同梱  /  【2026-08-06】LICENSE を追加(2c3c3d3、Apache-2.0 の正典テキスト)。ユーザー判断:「私のアイディアが非常によい場合に特許として出せる可能性を残しておきたいので」= 特許条項のある Apache-2.0 を選択。LibRaw を入れる場合の CDDL 判断は RAW 着手時に持ち越し体 = viewer 自身の条件で、これはユーザーの判断。推奨は MIT(PR で提案)
残課題【Fable】,File Browse を100点へ + 別レポジトリで管理できる形に切り出す,"ユーザー指示: 『File Browse がすごくいいのだけど、90点くらいの出来で、残りが埋められていない。ここは Viewer の肝なので力を入れたい。Fable TODO としてやりたい。また、これ自体を再利用したくなるので、別レポジトリで管理できるような準備をしておきたい』。設計の話(何を切り出すか、境界をどこに引くか、viewer 固有の何を残すか)なので Fable。既存の材料: docs/browse-inventory.md(全機能の棚卸)、docs/browse-topbar-design.md(上部の再設計案)、下端ステータス行の再配置(別行)。worktree viewer-wt-extract / branch browse-extract-study は場所だけ用意してあり 0 コミット  ── 統合: Browse の棚卸しと上部の再設計【1つの判断】 (docs/browse-inventory.md, docs/browse-topbar-design.md, browse-topbar-mockup.html)  ── 実地の材料: 上部の ... メニューが見つけられず『切り替えができない』と報告された(2026-08-04)。撤去した5ボタンの行き先が無ラベルの ... 一箇所しか無いこと、および Open selected as stack / Temporal stats / clear の3つが行の右クリックメニュー(core/main.cpp:20676, 20684)と重複していることの2点。ただし右クリックだけにすると『複数選択してから実行する』動線が消える(右クリックは行1つに当たる)ので、常設ボタンの撤去はその動線とセットで決める必要がある  ── 上部の2点は方向が決まったので別行へ切り出し(選択アクション4つの撤去 + filter/search 一本化)  ── 分割仕様確定(docs/split-plan.md, PR #87)。4判断は推奨どおり: 別repo化せず切り出し可能な形まで / selftest は main() 内に .inc / P6+P7 のみ / media 束は分割の後。S0 は ref-integrate 着地がゲート",docs/browse-inventory.md / browse-topbar-design.md,https://github.com/klimemam/viewer/issues/47 / docs/split-plan.md 確定,板に無かったので追加(2026-08-03)。空のワークツリーだけが存在していた  /  【2026-08-04 指示】44 を 32 に統合  /  【2026-08-04 指示】継続課題  /  【裁定 2026-08-10】「上位設計はFableに任せることにする」。切り出しの側は済(Browse は独立TU、接点は BrowseHost seam の関数ポインタ15本、Browse は viewer の内部を知らない)。Fable へ渡す材料: browse-inventory.md / browse-topbar-design.md 385行 / 実地報告(上部の ... が見つけられない、撤去した5ボタンの行き先が無ラベル1箇所)/ 未決(常設ボタン撤去 × 複数選択の動線はセットで決める必要)。設計が返るまで Browse に触るのは欠陥修正のみ
対応済み,解析を層で型付けする(Frame解析 / Stack解析 / Series解析),"ユーザー提案(2026-08-03): 解析は層ごとに分かれるのが自然で、ユーザーは手元の画像と条件を把握して適切な解析を動かす。現状の非対称: ABI は analyze(const psFrame* in,...) の1枚受け取り(ps_plugin.h:98)なので、プラグインは全部 Frame 解析。同梱 noise も測っているのは空間σとタイル中央値のノイズ床であって時間ノイズではない。stack の σ_t は Temporal パネル、series の線形性は Linearity パネルに内蔵されており、外から書けない。層を型にすると『σ_t は stack の性質』という正典の中心規則が API の形になり、間違った測定が表現できなくなる。要検討: (1) stack 全体をプラグインに見せる方法 = 共有メモリ運搬層と同じ問題 (2) リモートでは stack 解析は peer 側で走るしかない(逆に相性が良い) (3) 部分ロード 8/24 に stack 解析を掛けたとき n/N を渡すか拒否するか (4) ABI 版上げ(現 PS_ABI_VERSION 2)  ── 確定(c65b1e9 + d1f8e50)。AnalysisSet 再構成で全8判断に回答済み。docs/analysis-layers.md が正典、terminology.md 修正適用済み、#48/#66 閉。並列作業リストは analysis-layers.md の確定報告に記載","include/ps/ps_plugin.h:98, docs/analyzers.md, docs/stats-taxonomy.md",c65b1e9 / d1f8e50 (main),層モデルの自然な帰結。共有メモリ運搬層と一緒に設計すべき  /  【2026-08-04 指示】継続課題
対応済み,画素が何の量かを言う語が無い(仮称 map: 欠陥マップ/マスク/ゲイン/信頼度),ユーザー提案(2026-08-03、リーダが画像とマップを返す話から): 現行語彙 frame⊂stack⊂series⊂batch は『いくつあってどう関係するか』しか言わず、『その画素が何の量か』を言えない。map の性質: フレームと同じ H×W に揃っているが frame ではない / 自前の量と単位(またはマスクとして明示的に単位無し) / σ_t は意味を持たない / stack に混ぜてはいけない(stack は同一条件の同じ量の繰り返し) / 表示レンジは自前。用語 map はこの repo で空いている(plane=CFA、channel=色、layer=4層で埋まっている)。同じ穴が解析側にもある: analyzer は emit_number/emit_series しか持たず画素を返せないので、stack から欠陥マップを作る解析の置き場所が無い。要決定: (1) map は誰に付くか(説明している対象に付く案) (2) map の stack はあるか(フレーム毎マスク) (3) map に frame 解析を掛けたとき [DN] は嘘になる (4) セッション保存とエクスポート,"docs/terminology.md, docs/input-adapters.md, include/ps/ps_plugin.h",https://github.com/klimemam/viewer/issues/49,上の『解析を層で型付けする』と同じ欠落の裏表。一緒に設計すべき  /  【2026-08-04 指示】継続課題  /  【裁定 2026-08-10】やらないで確定・issue クローズ。理由「画素が何の量かをデータに紐付けて、解析側がそれに従って動くのは、色々な複雑性を入れ込むのでやらない。実際問題、種々のものに対応できない」。abi-v3.md §8 の意味種別の欄は「置かないことで確定」(席を空けるでも後で決めるでもなく存在しない)。残る確認1点: 意味種別を除いた最小欄(key/rect/unit/float32/NaN=欠測)だけの emit_map —— 名前と単位を持つ絵で分岐機構は無い —— も出さないのか。出さないなら stack 解析の主産物・detrend のシェーディング面・PRNU の差分画像の3件が「出さない」で確定  /  【取り下げ確定 2026-08-11】emit_map も単位の欄も入れない。ユーザ裁定「emit_map自体の存在意義がまだ明確ではなく，現時点での必要性も低いので，一旦取り下げ。画像に紐つく単位の記述も、e- なのか正規化等入った後かなどのバリエーションが実はあるので、敢えて言及せず、あるべき形が見えた段階で対応する」。この指摘は私の整理より正確で、私は「自由文字列だから列挙の問題を持たない」と書いたが、e- と「正規化後」は同じ欄に入る別種の情報(前者は物理量の単位、後者は画素に何が施されたかの履歴)で、自由文字列にしても読み手側に暗黙の列挙ができる。ABI v3 §8.3 は「席を空ける」ではなくこの版では持たないと書き直す。3件はこの版では出さない: stack 解析の主産物 / detrend のシェーディング面(数値のみ)/ PRNU の差分画像。inspector.inc の dtype からの単位推測もそのまま。次の版上げの見通しは残る(指定席+NULL探針の規律があるので席を空けずに済ませたことが後で困る形にはならない)
暫定対応したが後で直す,画素は float32 に落とされる — 黙る部分は止めた、正確に出す側は未了,"FrameSource::data が std::vector<float>(main.cpp:203)なので、ファイルの dtype に関係なく全画素が float32 に変換される。u8/i8/bool/u16/i16 は最大65535で正確、f32 も正確。しかし (1) u32/i32 は 16,777,216 を超えると丸まる (2) f64 は読み込み時に落ちる — README は f8 を読めると書いており実際に読めるが、ImageView・ROI・POI・Inspector が表示するのは元の値ではない。『画素値は保存形式が何であれ [DN]』の隣に置くべき事実。選択肢: (a) 元の dtype で保持する大手術 (b) f64/大きな整数を開くときに明示する (c) 少なくとも文書に書く。メモリも 2〜4倍になっており(755MBのu16が1.5GB)、共有メモリ運搬の検討と同じ根を持つ",main.cpp:203 FrameSource::data,,"判断はユーザー + Fable のセカンドオピニオン待ち(2026-08-03)。ユーザー質問(2026-08-03「overlayの画素値って何を出しているんだっけ」)から発覚  /  【2026-08-04 指示】表示と画素インスペクター用のメモリ空間を作る? 優先度中  /  【実測+暫定 2026-08-10 PR #142 ee29294】実測: u1 i1 b1 u2 i2 f4 は無損失。u4/i4 は 2^24 超の整数が落ち 16,777,217 が 16777216 に、4294967295 は 4294967296(u32 が取り得ない値)になる —— ただし一様ではなく 16777218 は生き残り 16777219 は落ちる(16サンプル中8つが file の値でない)。f8 は有効数字7桁を失い、さらに 1e300 → inf / 1e-300 → 0 でこれは精度でなく存在の喪失。最も鋭い証拠: f8_range.npy の真の平均は 2.5e299 だが TSV は 0.5 と出す(±1e300 が ±inf になり畳み込みが正しくそれを除外した結果)。規模の訂正: GPU は経路に居らず(8-bit RGBA のみ)ワイヤは元 dtype を正確に運ぶので、損失はクライアント最終段だけ = 広い型への移行は板の想定より小さい。ABI には f64 を名乗る手段が無い(psFrame::dtype は無条件 F32、同梱7本とも他を弾く)。実装は申告 —— dtype の決め打ちでなく配列ごとに実測して数え、全値が収まる f8 ファイルは何も言わない。fmtVal は保証できない整数に ~ を付ける(2^24+1 が 2^24 に丸まるので >= で判定)。Inspector に琥珀の1行。未了(判断項目として PR に): 正確さが要る面(Inspector/ROI/export)だけ元データから読む案と、広い型を端から端まで運ぶ案"
対応済み,PNG/JPEG を native で読む(TIFF は継ぎ目の裏で未実装),判断(2026-08-03、ユーザー): native にする。調査の C′ 案(アダプタに回す)を却下。C′ の根拠だった『PNG/JPEG/TIFF は伝達特性を名乗らないので [DN] を名乗る資格が無い』は、同日の『viewer は開いた画像を解析するだけ』判断で既に無効。残る論点はライブラリ選択のみ: (A) stb_image ヘッダ1本で PNG+JPEG、16bit PNG も可、TIFF 無し、ビルド変更ゼロ (B) libpng+libjpeg-turbo+libtiff の公式3本、16bit/float TIFF まで正確、依存3つ (C) OIIO 1つで全部だが重く、RAW を LibRaw 経由で読むため版の選択権を OIIO に渡す。TIFF だけが 16bit/float の測定値を運ぶ形式なので、PNG/JPEG と TIFF を分けて決める価値がある。miniz は既にリンク済みで PNG の書き出しに使っている(読みは無い)  ── 72a43be(PR #75)。core/imagefile.h に入口1つ(imagefile::decode)、core/imagefile.cpp だけがデコーダライブラリの存在を知る。差し替えは xxxDecode を1つ書いて表の1行を向けるだけ。decode == nullptr が一級の状態で、TIFF はそれで出荷 —— 一覧に載り、振り分けられ、名指しで拒否する。TIFF を推測しない理由: 3形式の中で唯一測定値を運ぶので、RGGB を当て推量すると『もっともらしい絵と間違った面別統計』になる。値は格納どおり(8bit→0..255 DN、16bit→0..65535 DN、割らない)—— 正規化するとリンクしたライブラリによって同じファイルの測定値が変わるから。拡張子で振り分け、マジックバイトで同定し、食い違ったら note に書く。stb_image 2.30 を1ファイル取得(commit + SHA256 で固定、vendor しない)。--media-selftest は NOGL で24 assert(16bit の標本ごとの往復、拒否3件の逐語、セッション復元、crop→Restore full)。viewer.exe +141KB、viewer-serve は無変更,docs/media-formats.md §1.4,72a43be (main),判断はユーザー + Fable のセカンドオピニオン待ち(2026-08-03)。LICENSE/THIRD-PARTY-NOTICES が未整備なので、依存を増やす前にそちらが要る  /  【2026-08-04 指示】提案のライブラリでよし。自前でラッパーを作っておいて、後で中身を差し替えられるようにしておくこと  /  【2026-08-04】この行が形式まわりのゲートになった —— EXR(実装済・main未統合)・形式戦略 C′・y4m の3ブランチがこれの完了を待つ  /  【2026-08-05 実装】seam = core/imagefile.h の Backend 表。ライブラリ名を知る翻訳単位は core/imagefile.cpp だけで、差し替えは表1行+関数1つ。PNG/JPEG は stb_image 2.30(1ヘッダ、FetchContent+SHA256 固定、repo に vendor しない)。値は保存されたまま [DN](8bit=0..255 / 16bit=0..65535、正規化しない)、note に『何をして何をしなかったか』を書き Inspector に出す。TIFF は Backend 表に載せたまま decoder 無しで名指しで断る —— 16bit/float/CFA を運ぶ唯一の器で、パターンを当てて開くのは読まないより悪いため。--media-selftest 22 assert、NOGL で3ランナー全部。Browse 一覧には出ない(isNpyName / peer は npy のみ)= 既知の境界
残課題,リーダが peer 側で走らない(リモートのファイルを読めない),仕様(§4.13.1)は決まっていて実装だけが無い: リーダはテキストなので protocol で送れる、peer が一時ディレクトリで実行して npz を peer 側に置く、回線を渡るのは TILE と MEASURE だけ、peer に Python/numpy が無ければそう言う、逃げ道として『手元で走らせる(ファイルが流れます)』を明示的に選ばせる。現状 openWithReader がリーダを走らせる唯一の場所なので、peer 版はその中身を差し替える形になる。今は ssh:// のファイルにリーダを当てられない,docs/input-adapters.md §4.13.1,,配線エージェントが意図的に範囲外にした分。ユーザー質問(2026-08-03)  /  【2026-08-04 指示】実装対応してください
進行中,設定を変える場所が無い(Preferences パネル不在),prefs.txt は存在し savePrefs() で書かれているが、設定を変える UI が機能ごとに散っている。例: リーダのフォルダは Reader パネルの中の『Choose folder...』(OSダイアログ)、既定レンジ・キー・Browse の見せ方は prefs.txt を手で編集。『どこで設定するか』が推測になっている。1箇所に集める設計が要る,main.cpp savePrefs / app.reader* 他,settings-file,"ユーザー指摘(2026-08-03)。下のリーダ探索パスの前提  /  【2026-08-04 指示】継続課題  /  【棚卸し完了 2026-08-10 PR #149 dd33262 docs のみ +668】docs/settings-inventory.md。最重量の発見: #50 本文の3例のうち2つが存在しない —— キー割り当ての機構は core/ のどこにも無く、表示レンジは black=0/white=255 があるだけで prefs.txt に入っていない。つまり #50 は3つの仕事が1つの帽子(集める/無いものを作る/作らないと決める)で、既存25キーの上に Preferences を載せても自分の3例のうち2つは変えられないまま。数え直し: prefs.txt は書き25/読み25 だが集合が違う、CLI はパーサが受ける綴り72(--help の箇条書きとしては66が正)、env 14読み中ユーザ設定は3、CMake の option() は0件で「13」は陳腐化(VIEWER_WITH_EXR は PR #122 で消滅)、session-only トグル43のうち12が測定値を動かす。分類は scope×stability×consequence の3軸で、consequence の measuring クラスに M1 結果に自分を書かせる/M2 セッションが設定ファイルに勝つ/M3 既定は自己記述的かさもなくば既定を持たない の3規則。JSONC の要はファイル分割: savePrefs() が製品コード17箇所からファイル全体を書き直す以上、同じ規律下の JSONC は最初のトグルでユーザのコメントを失う。未設定=キーが無い/既定は書き出さない/null 禁止(row157 が実例)。§9 に判断リスト20件 —— 番号で回答可能、要は 3 分割 / 6 未知キーを名指すか / 9 null 禁止 / 10・11 measuring / 14 キー割り当てを v1 に入れるか。ユーザ裁定待ち  /  【段1 実装 2026-08-11 PR #167 7b5984a】settings.jsonc の読む側だけ。方言は VS Code の JSONC(JSON + // /* */ + 末尾カンマ)で JSON5 ではない —— 理由は厳格さではなく、利用者が自分のエディタで直すファイルなので「エディタとアプリが同じ物を同じ意味に取る」ことが方言選択の目的そのものだから。BOM を飛ばし、
 を1改行と数える(行番号がエディタと合う)。優先順位は 既定 < prefs.txt < settings.jsonc < CLI で、真ん中は判断18(訂正版)の一般化 = specific が general に勝つ。同じ規則で readers.editor > $EDITOR。VIEWER_SERVE_* は置かない(peer プロセスの中で効くので届かない、書かれたら理由つきで名指し)。断りは2段: パース不能は file:line:col と理由を名指しして1キーも読まず書き戻さない(バイト不変を assert)、しかも既定へ落ちず prefs.txt が生き続ける(「ファイルが無いのと同じ」であって「設定が消える」ではない)。1値の型違いはそのキーだけ。未知キーは最近傍を併記、未知の節は1回、重複キーは両方の行番号、null は型エラー。移行: prefs.txt からキーは1つも出ていない —— 移ったのは権限だけなので、settings.jsonc を作らない利用者の挙動は不変(assert 済み)。読むのは22キー。--settings-template が既定と違う値だけを stdout へ(アプリはこのファイルを1バイトも書かない)。赤=reader を no-op にして 71 FAIL/6 PASS、緑=81 PASS、suite 50/50。最初の赤は 53 FAIL/31 PASS で通った31のうち19が空虚だったと自己申告(rejected==0 は何も読まなかった reader でも真、JSON5 拒否6本は !parsed しか見ておらずどのファイルでも真、バイト不変は誰も開かなかったファイルでも真)—— アンカーを足して 71 に戻した。実バグ1件: loadSettings は ImGui::CreateContext より前に走る(設定がタイトルバーを決めるので必然)ため断りのトーストが一度も描かれていなかった —— 文を保持して context 後に1回出す形に修正、自分の赤つき。棚卸しの訂正5点を §10 に記録(§3.1 の表は25行だがコードは27キー書き29キー読む: watchfiles/watchauto/readerplace が抜けていた)。先送り: Preferences パネル / measuring(判断10/11、M1 が先)/ state.json / loading.raw / 機構の無い browse 3キーと panels。#50 の3例のうちキーバインドと既定表示レンジは §3.8 のとおり存在せず閉じられない"
対応済み,リーダの探索パスが単数かつ決め打ち,"同梱リーダは run_adapter.py の隣の adapters/ 固定(shippedReaders, main.cpp:8786)、ユーザー側は app.readerLocalDir の1フォルダのみ。複数の場所(プロジェクト毎・共有・個人)を探索順つきで設定したい。同名衝突時にどれが勝つか、リーダのファイルが消えたとき憶えている対応をどうするかも同時に決める必要がある",main.cpp:8786 shippedReaders / app.readerLocalDir,reader-search-path,ユーザー指摘(2026-08-03)。Preferences パネルの上に乗る話  /  【2026-08-04 指示】継続課題  /  【実装 2026-08-10 PR #147 dd33262】裁定「readerのファイルもしくはフォルダを登録」。登録単位は「場所」で、file か folder かは毎回ディスクに訊き保存しない(保存するとフォルダがファイルに変わった日にファイルシステムが持つ事実の2つ目の写しと食い違う)。prefs.txt に readerplace <path> を順序付きで(上限32・重複除去)。readerdir は最初の場所として読み続け二度と書かない移行なので、既存 prefs.txt は昨日見つけたものを今日も見つけ 1回の load+save で移行完了。探索順=ユーザが並べた順→同梱フォルダ最後: 同梱が勝つと、更新で npz_keys.py が増えた日に誰も設定に触っていないのにユーザ自身の同名ファイルから名前を奪う。read-only インストールで上書きが可能な唯一の順でもある。衝突は拒否せず先勝ち+敗者を名指し —— 拒否にすると登録が破壊的な行為になり(util.py を持つフォルダを足すだけで動いていた util.py が全部止まる)、安全でない登録は誰も使わないので欠陥が戻る。失われるのは沈黙だけで、パネルは (shadowed by ...)、ログは勝者と敗者、拒否文は全場所。消えた場所は落とさず MISSING。起動時スキャンなし(死んだ共有を起動時に stat するのは起動がハングする経路)。赤=readerSearchPath() を同梱のみに戻して assert 8本 FAIL、緑=同8本通過。test_adapters.py 47 case 0 failed
対応済み,browse-keys 間欠失敗: Ctrl+click で2つ選んで Enter すると2つ目が開かないことがある,"本日3件の目撃: 動画エージェント4回中1回、アダプタエージェント8回中1回(どのテストか特定できず)、私が2回中1回。単独実行では PASS(35.73s、10回中10回)。潰した仮説: (1)並列実行ではない(run_selftests.sh は意図的に直列) (2)ユーザーの viewer が起動していたのではない(本人確認済み) (3)別ワークツリーのゲートとの同時実行でもない(1件目は単独時)。3回とも失敗時の出力を取り逃がしている — ctest の Testing/Temporary/LastTest.log は次の実行で上書きされ、間欠故障は再実行で診断するので必ず消える。対策として失敗時に failed-<日時>.log へ退避する処理を入れた(次の1回が自己証拠になる)。残る仮説: 先行テストが残す状態への依存 — EXRエージェントが独立に同じ場所に到達し、build-mingw/selftest-home が layout.ini/prefs.txt を実行間で溜め、ctest と手動の --verify-selftest で共有されると名指しした。別種として selftest.series の間欠は機構が判明: 別ワークツリーのGUIテストと同時実行するとウィンドウ生成に負けて0.10秒で死ぬ(ログ空)。これはCIでGL無しランナーが出したのと同じ徴候で、browse-keys(33秒走ってから失敗)とは別物  ── 4度目にしてようやく出力を捕まえた(docs/diagnostics/browse-keys-20260804.txt)。『不安定』ではなく症状に名前がついた: core/main.cpp:23066 の動作列 「... ctrlclick, down, ctrlclick, enter, waitimg:44」で imgs=36 / seqs=3 (期待 44 / 4)、missing は gain20_00#.npy が8枚ちょうど。つまりコマが虫食いになるのではなく、2つ目の stack が sequence を1つも作っていない —— フレームが落ちるのではなく Open そのものが完了していない。chkopen:4 と chknames も同じ理由で落ちる(1つの原因、3つの assert)。PR #37 のレビュー中に発生したが #37 のせいではない: 同日 main 上で3回(1/4, 1/8, 1/2 の頻度)、単独実行では10/10通過、#37 込み 1/5 に対し #37 抜き 0/9 で、既知の約20%の素の発生率と区別できない","core/main.cpp:23066 の動作列, docs/diagnostics/browse-keys-20260804.txt, build-mingw/selftest-home に貯まる layout.ini / prefs.txt",,残る仮説は build-mingw/selftest-home の状態蓄積。layout.ini と prefs.txt が実行をまたいで貯まり書き換わることは確認済み。並列実行と viewer 起動中は既に除外済み  /  【2026-08-04 指示】開くようになった。Reader 時の挙動が未定義なので別課題に切り出し
対応済み,可逆/非可逆で viewer の振る舞いを変えない【判断済み・実装不要】,判断(2026-08-03、ユーザー): viewer は開いた画像を解析するだけなので、可逆か非可逆かを気にする必要は無い。よって values(dn/display/unknown) は入力アダプタ仕様に入れない。解析のゲートも警告も拒否もしない。RAWのEXIF/makernotesは既定どおり meta に入るので makernotes.canon.Quality もその1つとして記録されるだけで、特別扱いしない。調査で判明した事実は媒体形式の文書に残す(可逆CR3とC-RAWは decoder_name・decoder_flags・寸法・黒512・最大16383・復号時間まで一致し Quality 4 vs 7 だけが違う / ILCE-1 の『compressed』既定は非可逆側),"docs/media-formats.md, docs/input-adapters.md",,私の設計提案は却下。『アダプタが穴を開け直す』も誤りで、.npy に表示用画素を保存すれば今日の main で同じことが起きる
対応済み,形式戦略の改訂版 C′(native = EXR + ベンダRAW、PNG/JPEG/TIFF はアダプタ),実測: LibRaw は EXR より安い(+11.8s/+0.95MiB vs +20.3s/+2.98MiB)。OIIO は raw を LibRaw 経由で読むので『タダで付いてくる』は嘘。実ファイル5社で raw_image が CFA/黒/白/ビット深度つきで取れ [DN] として素直に扱える。ただし Nikon は黒レベル0を申告しつつ画素は80-306 — 表示はするが黙って引かない。EXIF は meta へ、series の自動生成はしない(Olympus が絞り0/焦点0を返す=未設定が0で来る),,branch media-format-strategy @ 6f2d69e / https://github.com/klimemam/viewer/issues/52,反論2点も記載: LibRawのピン留めは陳腐化する / ユーザーが名指ししたPNG-JPEG-TIFFを『開けもしない』ままにする  /  【2026-08-04 指示】TIFF/PNG/JPEG と一緒にまとめて main にマージしてよい? ← 要判断  /  【2026-08-04 決定】PNG/JPEG/TIFF の native 読みが済んでから、EXR・形式戦略 C′・y4m をまとめて main へ入れて一度に検証する。理由: 形式ごとにばらばらに入れるより、揃った状態で1回検証する方が確かめやすい。それまでブランチのまま待機  /  【棚卸し 2026-08-10】#52 は 2026-08-09 に裁定・クローズ。native = seam の裏(npy/npz + PNG/JPEG/TIFF/EXR/y4m + ベンダRAW)、アダプタ = reader、peer は npy のみ。RAW も PR #125 で native 実装済み
対応済み,OpenEXR 公式ライブラリ対応(実装済・main未統合),実測: +27s コールドビルド(+37%)、バイナリ +3.12MiB(+40.9%)。使わないとリンカが丸ごと落とすので増分は全部実コード。find_package優先→FetchContent(Imathを先に宣言してgit依存を回避)、VIEWER_WITH_EXR=ON既定、viewer-serveには載せない(peerはnpyのみ)。V23が23本、22/22緑。要判断: (1)EXRのlayer名にnpzMemberを流用 (2)fixtureがOpenEXRのwriterを使うため書き出しコードが製品バイナリに乗る (3)tiledは仕様に従い拒否だがInputFileは透過的に読める (4)Browseに.exrが出ない(isNpyName=リモートpeerと結合),,branch media-openexr @ 319f0ea / https://github.com/klimemam/viewer/issues/53,形式戦略(RAW/EXIF込み)の判断材料。単独mergeせず一緒に決める  /  【2026-08-04 指示】TIFF/PNG/JPEG と一緒にまとめて main にマージしてよい? ← 要判断  /  【2026-08-04 決定】PNG/JPEG/TIFF の native 読みが済んでから、EXR・形式戦略 C′・y4m をまとめて main へ入れて一度に検証する。理由: 形式ごとにばらばらに入れるより、揃った状態で1回検証する方が確かめやすい。それまでブランチのまま待機  /  【棚卸し 2026-08-10】#53 は 2026-08-09 に裁定・クローズ。EXR は既定 ON、OFF 経路は PR #122 で撤去。分割後の層へ載せ替えて PR #109 で main 着地
